displayUserNick,auctionSku,rateDate,rateContent
花***爷,颜色分类:31 米色;尺码:165/90/S,2021-03-03 22:15:37,可买
洪***h,颜色分类:31 米色;尺码:170/95/M,2021-03-02 17:09:26,💌收到立马打开看了一下，非常不错，质量超好，颜值又高😘，推荐推荐🉑
t***8,颜色分类:08 深灰色;尺码:165/90/S,2021-03-02 13:37:28,入的第二条额哈哈 上身还不错，挺好的，如果颜色能多一些就更好了
来***l,颜色分类:08 深灰色;尺码:175/100/L,2021-03-02 00:44:19,第二条，非常好，码数偏大建议买小一码
4***刘,颜色分类:31 米色;尺码:170/95/M,2021-03-01 12:46:14,挺好的
t***0,颜色分类:31 米色;尺码:170/95/M,2021-03-01 07:47:41,优衣库质量没的说
a***s,颜色分类:08 深灰色;尺码:170/95/M,2021-02-28 15:41:39,173 75kg 腰有点宽 9分变长裤了
t***3,颜色分类:31 米色;尺码:170/95/M,2021-02-28 11:41:58,薄 肥
2***u,颜色分类:31 米色;尺码:175/100/L,2021-02-27 17:36:31,身高181体重160斤穿L合适。
x***9,颜色分类:08 深灰色;尺码:170/95/M,2021-02-27 15:13:54,很喜欢，第二条
李***9,颜色分类:08 深灰色;尺码:165/90/S,2021-02-27 12:01:33,好评！
n***y,颜色分类:08 深灰色;尺码:170/95/M,2021-02-27 01:56:43,买的第四条了。真心是不错。
散***3,颜色分类:08 深灰色;尺码:175/100/L,2021-02-27 00:10:23,每个颜色都有，厚实松软，通勤必备
z***3,颜色分类:08 深灰色;尺码:165/90/S,2021-02-26 20:03:46,多次购买，不过这个深灰色不太好看啊
w***6,颜色分类:57 深橄榄色;尺码:170/95/M,2021-02-26 14:44:12,170/73，刚刚好。
不***爱,颜色分类:69 藏青色;尺码:170/95/M,2021-02-25 23:23:55,很好
皮***走,颜色分类:31 米色;尺码:165/90/S,2021-02-25 17:23:05,美滋滋
梦***5,颜色分类:08 深灰色;尺码:165/90/S,2021-02-25 15:51:46,很好的宝贝，与描述一致好评
l***x,颜色分类:31 米色;尺码:180/105/XL,2021-02-25 13:07:19,裤型不错，穿着挺舒服。
江***4,颜色分类:57 深橄榄色;尺码:170/95/M,2021-02-25 11:30:37,一如既往地喜欢
t***7,颜色分类:69 藏青色;尺码:170/95/M,2021-02-25 09:09:49,舒服
小***里,颜色分类:57 深橄榄色;尺码:180/105/XL,2021-02-23 20:58:55,很舒服，棒
无***q,颜色分类:31 米色;尺码:165/90/S,2021-02-23 20:28:09,点击便宜小美好大家闺秀看吧蒂姆代码好
你***5,颜色分类:31 米色;尺码:165/90/S,2021-02-23 19:46:55,不错，打算买了自己穿的，结果给我妈穿了....
z***c,颜色分类:31 米色;尺码:175/100/L,2021-02-23 18:29:07,不错
姚***薇,颜色分类:69 藏青色;尺码:170/95/M,2021-02-23 09:12:24,同款比实体店便宜50块钱，又购置一条，很好穿。
w***b,颜色分类:31 米色;尺码:170/95/M,2021-02-22 16:31:21,东西不错，171/135，m的正合适，借大家参考一下，过几天暖和了穿，料子很舒服
b***头,颜色分类:31 米色;尺码:170/95/M,2021-02-21 19:55:40,👍🏽
丹***存,颜色分类:08 深灰色;尺码:175/100/L,2021-02-11 09:28:16,稍微有点大  不过不影响好看
在***1,颜色分类:69 藏青色;尺码:165/90/S,2021-02-10 21:12:08,可
美***5,颜色分类:69 藏青色;尺码:170/95/M,2021-02-08 22:58:22,买小了，懒得退
z***3,颜色分类:69 藏青色;尺码:175/100/L,2021-02-05 19:00:11,藏蓝色好评，190公分，90公斤，175尺**，这个裤子比平时裤子肥一码，建议买小一码。
t***5,颜色分类:69 藏青色;尺码:170/95/M,2021-02-05 18:21:51,很好，很喜欢哈哈，他棒了吧。哈哈
t***0,颜色分类:08 深灰色;尺码:175/100/L,2021-02-04 11:18:51,给老父亲买的，去店里试了一下午，很舒服，就是自己拍的稍微有点大了。准备回购其他颜色
阿***e,颜色分类:57 深橄榄色;尺码:175/100/L,2021-02-02 20:42:24,99和199的都买了，这个材质好很多
t***1,颜色分类:57 深橄榄色;尺码:170/95/M,2021-02-02 12:40:39,神裤
t***4,颜色分类:69 藏青色;尺码:175/100/L,2021-02-02 09:11:47,满意
依***丶,颜色分类:08 深灰色;尺码:165/90/S,2021-02-01 22:32:32,Good
t***1,颜色分类:57 深橄榄色;尺码:165/90/S,2021-01-31 22:31:32,还可以
叫***9,颜色分类:31 米色;尺码:170/95/M,2021-01-29 14:49:22,第二次购买了
h***r,颜色分类:08 深灰色;尺码:170/95/M,2021-01-27 12:35:24,非常舒服的裤子买的第二件了。 比之前买便宜50块，等了好久才打折。 裤子柔软穿着舒适
z***3,颜色分类:69 藏青色;尺码:165/90/S,2021-01-27 08:37:59,老公说穿着舒服，布料有点弹性 软。
e***1,颜色分类:31 米色;尺码:165/90/S,2021-01-25 22:30:07,没色差，可以
小***v,颜色分类:08 深灰色;尺码:175/100/L,2021-01-25 22:29:04,好穿，回购了两条，这下颜色凑齐了。
刀***b,颜色分类:69 藏青色;尺码:170/95/M,2021-01-25 11:47:27,不错，等降价好久了
