displayUserNick,auctionSku,rateDate,rateContent
b***n,颜色分类:69 藏青色;尺码:165/90/S,2021-03-05 13:40:49,不错
y***9,颜色分类:08 深灰色;尺码:175/100/L,2021-03-04 20:13:48,很好
杨***6,颜色分类:57 深橄榄色;尺码:175/88A/L,2021-03-04 15:55:36,Nice！
我***像,颜色分类:31 米色;尺码:170/80A/M,2021-03-04 12:11:51,比99的厚实，穿起来不错。
p***牛,颜色分类:66 蓝色;尺码:175/88A/L,2021-03-03 23:33:20,挺好的。。。。。。。。。。。。。
t***5,颜色分类:31 米色;尺码:170/80A/M,2021-03-03 12:20:49,穿着很柔软。
o***煜,颜色分类:57 深橄榄色;尺码:165/72A/S,2021-03-03 12:10:31,好jllooywoekuwwwww
穿***女,颜色分类:69 藏青色;尺码:165/72A/S,2021-03-02 17:59:54,商品质量不错，细节、品质、做工都非常好，直接实体店拿的，速度超快
平***3,颜色分类:31 米色;尺码:180/96B/XL,2021-03-02 13:17:08,面料超级舒服
t***5,颜色分类:69 藏青色;尺码:165/72A/S,2021-03-01 17:48:58,会有点担心会不会掉色
突***x,颜色分类:57 深橄榄色;尺码:170/80A/M,2021-03-01 17:36:41,裤子是针织，摸着很柔软，买的绿色的，是暗绿色，看起来沉稳一些。穿着比较舒适。
小***0,颜色分类:31 米色;尺码:165/90/S,2021-03-01 10:35:25,还行，挺好看的，穿起来舒适
小***乖,颜色分类:69 藏青色;尺码:170/80A/M,2021-02-28 22:28:06,很好
超***儿,颜色分类:31 米色;尺码:175/88A/L,2021-02-28 19:55:07,好评！
简***n,颜色分类:69 藏青色;尺码:175/88A/L,2021-02-28 16:52:35,不错
l***5,颜色分类:08 深灰色;尺码:160/85/XS,2021-02-28 15:09:11,nice。
闫***楷,颜色分类:69 藏青色;尺码:165/72A/S,2021-02-28 11:24:54,穿上刚刚好，本人176    110    面料舒适，推荐购买
屋***猫,颜色分类:57 深橄榄色;尺码:165/72A/S,2021-02-27 15:38:05,面料裤型都很舒适
s***0,颜色分类:69 藏青色;尺码:180/96B/XL,2021-02-26 21:32:21,💌心仪已久，果断下手，用过之后感觉很不错，是正品，快递也很给力，果然名副其实👍🌵值得购买！没有什么味道，用起来还可以😘，没有不舒服的地方😶，所以我还蛮喜欢的总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐物流满分💯，包装快递满分💯，配送员态度满分💯，购物让人开心，吃土使我快乐~ʜᴀᴘᴘʏ̆̈◞̆💛看起来还不错，包装的很仔细，价格也非常公道，还会继续买买买！✌
t***5,颜色分类:31 米色;尺码:160/64A/XS,2021-02-26 19:50:52,很喜欢这版型和颜色，很赞！
天***你,颜色分类:69 藏青色;尺码:165/72A/S,2021-02-26 17:59:05,裤子不错喔穿上很舒服
t***7,颜色分类:66 蓝色;尺码:170/80A/M,2021-02-26 13:36:31,这个一系列型号的，同样的尺寸、料子、版型，今年的比去年的瘦，长度一样。个人喜欢去年的宽度。
a***灬,颜色分类:31 米色;尺码:170/80A/M,2021-02-26 09:50:50,此用户没有填写评论!
我***妹,颜色分类:69 藏青色;尺码:185/120C/XXXXL,2021-02-26 07:59:34,OK
t***3,颜色分类:31 米色;尺码:160/64A/XS,2021-02-25 22:33:01,挺好的。
番***1,颜色分类:57 深橄榄色;尺码:175/88A/L,2021-02-25 20:04:01,好
c***0,颜色分类:69 藏青色;尺码:180/96B/XL,2021-02-25 17:48:44,挺好的，上身很舒适，腿粗推荐购买！实物比网图好！
小***0,颜色分类:69 藏青色;尺码:170/80A/M,2021-02-25 14:54:29,质量很好
小***0,颜色分类:31 米色;尺码:170/80A/M,2021-02-25 14:54:29,质量很好
魔***丶,颜色分类:66 蓝色;尺码:165/72A/S,2021-02-25 14:11:57,好穿，很阳光
权***5,颜色分类:57 深橄榄色;尺码:185/104C/XXL,2021-02-25 12:22:16,质感不错
