displayUserNick,auctionSku,rateDate,rateContent
i***3,鞋码:M;颜色分类:23 橙黄色,2021-02-18 15:19:26,很好，就是太大了
淘***么,鞋码:L;颜色分类:04 烟灰色,2021-02-01 08:20:39,还好
偶***遛,鞋码:L;颜色分类:23 橙黄色,2021-01-31 22:58:29,好穿
专***8,鞋码:L;颜色分类:04 烟灰色,2021-01-31 17:04:51,脚感很好，就是不能穿去卫生间，不然鞋子容易湿。
云***8,鞋码:M;颜色分类:23 橙黄色,2021-01-29 23:12:26,今年买了超多你家的衣服，多多搞活动哦
o***9,鞋码:L;颜色分类:69 藏青色,2021-01-23 23:33:04,质量不错哦，穿上舒服
悟***来,鞋码:XL;颜色分类:04 烟灰色,2021-01-23 13:02:16,好
t***y,鞋码:L;颜色分类:23 橙黄色,2021-01-23 11:25:13,L码适合42-43的脚，鞋底是个硬壳，走起路来噶哒噶哒的，买了就留下了但不会回购
w***c,鞋码:L;颜色分类:23 橙黄色,2021-01-19 19:56:24,颜色靓丽，洋气，穿上很舒服，在地板上声音也不是很大，不吵睡觉
l***t,鞋码:M;颜色分类:04 烟灰色,2021-01-17 18:20:31,东西不错。不过发货太慢
黯***淘,鞋码:M;颜色分类:23 橙黄色,2021-01-16 22:30:47,客服简直差到不行！！！鸡同鸭讲！！！对牛弹琴！！！！
p***u,鞋码:M;颜色分类:23 橙黄色,2021-01-13 22:39:54,哦哦哦
