displayUserNick,auctionSku,rateDate,rateContent
习***7,颜色分类:00 白色;尺码:160/85/XS,2021-03-05 12:30:22,挺薄的
t***e,颜色分类:09 黑色;尺码:185/115/XXXL,2021-03-05 10:32:08,这个短袖内衣uni超级好。爽滑轻盈。（男士）可内可外。有超大码。上架就买好多件！
e***霞,颜色分类:09 黑色;尺码:170/95/M,2021-03-05 08:49:08,情侣装吧
k***1,颜色分类:00 白色;尺码:175/100/L,2021-03-04 22:53:27,衣服不错，质量很好，这个价位已经多次回购，每年夏天必入单品
李***1,颜色分类:08 深灰色;尺码:185/110/XXL,2021-03-04 21:18:22,不错，
t***2,颜色分类:69 藏青色;尺码:170/95/M,2021-03-04 13:39:56,不错 男朋友喜欢
随***哥,颜色分类:00 白色;尺码:165/90/S,2021-03-03 20:50:49,很喜欢优衣库的衣服
马***1,颜色分类:08 深灰色;尺码:185/110/XXL,2021-03-03 20:46:36,airism短袖T恤 👍👍👍 第5、6 件
t***1,颜色分类:00 白色;尺码:175/100/L,2021-03-03 15:08:05,OK
细***朵,颜色分类:00 白色;尺码:180/105/XL,2021-03-03 09:22:34,好评！
x***7,颜色分类:69 藏青色;尺码:170/95/M,2021-03-02 17:27:50,还可以
c***5,颜色分类:00 白色;尺码:170/95/M,2021-03-02 09:39:16,特别满意
纸***丫,颜色分类:09 黑色;尺码:170/95/M,2021-03-02 04:28:08,质量好
w***茫,颜色分类:08 深灰色;尺码:185/115/XXXL,2021-03-01 19:24:16,性价比高，穿着舒服
w***茫,颜色分类:69 藏青色;尺码:185/115/XXXL,2021-03-01 19:24:16,性价比高，穿着舒服
澜***1,颜色分类:09 黑色;尺码:185/115/XXXL,2021-03-01 14:03:44,送老弟的，特别好看舒服
看***异,颜色分类:30 浅米色;尺码:170/95/M,2021-02-28 15:54:45,买完就搞活动降价，还不退差价，恶心*了
1***1,颜色分类:08 深灰色;尺码:185/110/XXL,2021-02-28 15:24:16,物流物流不行，发过来不派件又回去了，来回送两遍，客服客服不行，来回只会应付，回消息慢的要*，建议别**了，你赶不上热的，**就不该来，别买优衣库的东西了，是时候该倒闭了
李***3,颜色分类:69 藏青色;尺码:175/100/L,2021-02-27 21:47:56,有点透光呢，看下多穿几次会不会松垮
y***s,颜色分类:08 深灰色;尺码:165/90/S,2021-02-26 18:19:09,价格实惠，质量很赞。
s***8,颜色分类:69 藏青色;尺码:170/95/M,2021-02-26 17:58:37,衣服很不错！
小***3,颜色分类:63 天蓝色;尺码:175/100/L,2021-02-26 17:31:24,好评，颜色还行
周***0,颜色分类:00 白色;尺码:175/100/L,2021-02-26 16:08:05,舒适的面料
周***0,颜色分类:00 白色;尺码:185/115/XXXL,2021-02-26 16:08:05,面料舒适
t***1,颜色分类:30 浅米色;尺码:175/100/L,2021-02-26 09:25:25,衣服很舒适，今年又买了优衣库空气系列
t***4,颜色分类:69 藏青色;尺码:185/110/XXL,2021-02-25 21:01:16,给爸爸买的，穿着大小还可以
k***3,颜色分类:69 藏青色;尺码:185/110/XXL,2021-02-25 18:03:59,此用户没有填写评论!
赵***贝,颜色分类:69 藏青色;尺码:170/95/M,2021-02-25 13:01:38,有点紧身 可以买大一个尺码
k***i,颜色分类:09 黑色;尺码:185/110/XXL,2021-02-25 09:25:59,合适
k***因,颜色分类:00 白色;尺码:180/105/XL,2021-02-25 05:53:58,很好
w***8,颜色分类:09 黑色;尺码:175/100/L,2021-02-24 09:11:41,面料舒服，做工精细，非常合身
s***m,颜色分类:08 深灰色;尺码:175/100/L,2021-02-24 09:00:50,买过好几件，值得购买
通***曲,颜色分类:00 白色;尺码:175/100/L,2021-02-23 23:48:55,不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错
通***曲,颜色分类:00 白色;尺码:175/100/L,2021-02-23 23:48:03,不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错
y***e,颜色分类:00 白色;尺码:180/105/XL,2021-02-23 19:12:48,优衣库就是价廉物美的选择，老爸穿着舒适。
y***e,颜色分类:63 天蓝色;尺码:180/105/XL,2021-02-23 19:12:48,非常好的内搭T恤，老爸满意。
e***黄,颜色分类:09 黑色;尺码:175/100/L,2021-02-23 15:13:55,质量不错
o***s,颜色分类:09 黑色;尺码:175/100/L,2021-02-23 10:42:07,衣服不错，价格很合适。
臭***y,颜色分类:00 白色;尺码:170/95/M,2021-02-23 06:51:35,挺好的，物美价廉，穿的挺不错。
臭***y,颜色分类:09 黑色;尺码:170/95/M,2021-02-23 06:51:35,挺好的，物美价廉，穿的挺不错。
喷***流,颜色分类:00 白色;尺码:165/90/S,2021-02-22 21:09:45,这个系列的衣服非常棒，版型好看，尺码也很合适。领口也不大，缝线结实
o***r,颜色分类:00 白色;尺码:175/100/L,2021-02-22 10:07:22,很好
小***5,颜色分类:00 白色;尺码:170/95/M,2021-02-20 22:37:08,好评
陌***0,颜色分类:00 白色;尺码:175/100/L,2021-02-19 16:33:29,挺好的
t***9,颜色分类:30 浅米色;尺码:170/95/M,2021-02-19 16:29:05,完美！
l***5,颜色分类:09 黑色;尺码:175/100/L,2021-02-19 14:49:30,售后服务很差劲，没有人工服务。
y***0,颜色分类:08 深灰色;尺码:165/90/S,2021-02-18 09:31:19,面料很舒服
y***0,颜色分类:69 藏青色;尺码:165/90/S,2021-02-18 09:31:19,面料很舒服
t***4,颜色分类:69 藏青色;尺码:175/100/L,2021-02-18 07:30:09,优衣库的质量都是杠杠的，舒服透气，适合夏天穿
e***2,颜色分类:00 白色;尺码:170/95/M,2021-02-14 23:57:35,好看，百搭，舒服
世***坑,颜色分类:09 黑色;尺码:180/105/XL,2021-02-14 23:47:03,好，确实很不错，面料很舒服
通***曲,颜色分类:00 白色;尺码:175/100/L,2021-02-14 16:56:30,东西还不错还不错还不错东西还不错还不错还不错东西还不错还不错还不错东西还不错还不错还不错东西还不错还不错还不错
t***8,颜色分类:08 深灰色;尺码:185/110/XXL,2021-02-13 22:52:54,在门店试好了款式，没有合适的尺码，就在网上买了，质量不错。
小***5,颜色分类:69 藏青色;尺码:170/95/M,2021-02-12 23:28:21,可以
小***5,颜色分类:00 白色;尺码:170/95/M,2021-02-12 23:28:21,脱线了
小***5,颜色分类:63 天蓝色;尺码:170/95/M,2021-02-12 23:28:21,这个颜色不好看
t***7,颜色分类:69 藏青色;尺码:185/120/XXXXL,2021-02-10 00:33:14,穿起来舒服
t***5,颜色分类:08 深灰色;尺码:170/95/M,2021-02-09 10:31:24,太薄了
智***z,颜色分类:09 黑色;尺码:185/110/XXL,2021-02-06 09:14:54,非常好
a***0,颜色分类:30 浅米色;尺码:175/100/L,2021-02-04 19:12:41,实用
z***r,颜色分类:09 黑色;尺码:185/115/XXXL,2021-02-04 15:16:53,衣服穿的真的很舒服！不过只有官网才有2XL以上的衣服！难受😢
h***y,颜色分类:00 白色;尺码:185/110/XXL,2021-02-04 15:15:44,第二次购买了，这件圆领T恤质地手感好，穿着舒适。
