displayUserNick,auctionSku,rateDate,rateContent
2***1,颜色分类:69 藏青色;尺码:165/90/S,2021-03-05 13:19:17,比较薄 男朋友说大小合适
え***ふ,颜色分类:69 藏青色;尺码:180/105/XL,2021-03-05 11:19:57,很舒服，等再暖点就可以穿了
r***g,颜色分类:04 烟灰色;尺码:175/100/L,2021-03-04 22:57:54,挺好的，面料很舒适，薄厚适合春秋。
c***6,颜色分类:69 藏青色;尺码:170/95/M,2021-03-04 22:13:23,满意
k***n,颜色分类:04 烟灰色;尺码:175/100/L,2021-03-04 19:32:07,好
l***e,颜色分类:69 藏青色;尺码:180/105/XL,2021-03-04 16:29:23,优衣库的睡衣还是很舒服的
t***4,颜色分类:69 藏青色;尺码:175/100/L,2021-03-04 12:49:17,可以
q***乔,颜色分类:04 烟灰色;尺码:185/110/XXL,2021-03-03 10:26:46,很好
想***x,颜色分类:04 烟灰色;尺码:180/105/XL,2021-03-02 21:48:27,不好，品牌不好，质量不好，售后不好，而且毫无信誉感可言
想***x,颜色分类:09 黑色;尺码:180/105/XL,2021-03-02 21:48:14,不好，品牌不好，质量不好，售后不好，而且毫无信誉感可言
b***l,颜色分类:04 烟灰色;尺码:185/115/XXXL,2021-03-02 21:26:11,颜色还可以，稍微有点大，睡衣宽松点也好。
陌***0,颜色分类:69 藏青色;尺码:175/100/L,2021-03-02 10:03:45,（懒得拍了，借了别的姐**图） 很不错，给男朋友买的，他还挺喜欢的，质量还不错，就是不知道会不会起球。总体来说很满意。
t***9,颜色分类:69 藏青色;尺码:175/100/L,2021-03-01 22:00:44,很好看，超级好，很适合睡觉穿
w***8,颜色分类:09 黑色;尺码:180/105/XL,2021-03-01 18:41:28,特别好，舒适的布料，养眼的剪裁
陌***花,颜色分类:69 藏青色;尺码:180/105/XL,2021-03-01 14:13:17,质量不错，上身很舒服
你***瑰,颜色分类:69 藏青色;尺码:180/105/XL,2021-03-01 08:43:10,给男朋友买的，颜色好看，不显老气，还显瘦，不错
回***枪,颜色分类:69 藏青色;尺码:185/110/XXL,2021-03-01 08:33:00,行
王***t,颜色分类:69 藏青色;尺码:175/100/L,2021-03-01 02:28:59,老公很喜欢
王***t,颜色分类:04 烟灰色;尺码:175/100/L,2021-03-01 02:28:32,非常好！
f***3,颜色分类:69 藏青色;尺码:170/95/M,2021-02-28 17:55:33,面料柔软舒适，款式大方，尺寸准确，客服服务态度好，发货送货快捷，滿意，打算再买一套，5分好评。
爱***1,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-27 21:10:14,买给男朋友的，不知道怎么样，咱也不敢问呀
我***3,颜色分类:69 藏青色;尺码:175/100/L,2021-02-26 18:24:43,老公喜欢
一***不,颜色分类:09 黑色;尺码:175/100/L,2021-02-26 14:58:06,"质量非常好,与卖家描述的完全一致, 真的很喜欢,完全超出期望值,发货速 度非常快,包装非常仔细、严实,物流公司服务态度很好,运送速度很快,很满意的一次购物质量很好, 希望更多的朋友信赖. 店主态度特好, 我会再次光顾的好卖家 赞，发货迅速，态度很好，很满意!很好很好!网上购物这么激烈，没想到店家的服务这么好，商品质量好而价低廉， 很热情的卖家，下次还来希望下次还有机会合作祝你生意兴隆质量非常好，出乎我的意料包装非常仔细。"
s***8,颜色分类:09 黑色;尺码:185/110/XXL,2021-02-26 14:17:08,很舒服
闲***6,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-25 21:16:07,很好
江***铃,颜色分类:04 烟灰色;尺码:170/95/M,2021-02-24 20:45:55,爸爸很合适！我摸起来也很舒服
好***0,颜色分类:69 藏青色;尺码:175/100/L,2021-02-24 18:38:09,还行 应该挺透气
依***q,颜色分类:69 藏青色;尺码:165/90/S,2021-02-24 10:44:09,非常好的睡衣
何***5,颜色分类:69 藏青色;尺码:185/110/XXL,2021-02-24 01:22:46,挺好的，优衣库的售后也都非常好，这个码店里没有，网上的码数很全
l***5,颜色分类:69 藏青色;尺码:170/95/M,2021-02-23 20:01:17,还可以，略贵
l***头,颜色分类:69 藏青色;尺码:185/112C/XXL,2021-02-23 15:13:57,衣服挺好的，质量也不错，男朋友挺喜欢常舒服，样子也好看，想穿出门去哈哈。建议睡衣的尺码买的比平时大一号，穿着睡觉自在点。很喜欢，舒适挺舒服的
王***3,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-23 11:26:53,老公175，160多斤，穿这个号挺好
金***q,颜色分类:09 黑色;尺码:180/105/XL,2021-02-23 09:35:32,还不错
t***3,颜色分类:04 烟灰色;尺码:175/100/L,2021-02-22 22:48:57,睡衣穿着还挺舒服的
y***白,颜色分类:69 藏青色;尺码:175/100A/L,2021-02-22 22:11:06,不错 有点素
低***草,颜色分类:69 藏青色;尺码:175/100/L,2021-02-22 13:55:43,面料很舒服💪
y***0,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-22 11:18:36,176，180斤，穿起合身
0***生,颜色分类:69 藏青色;尺码:170/95/M,2021-02-21 21:11:12,个人171cm，128斤，M码刚刚好
h***0,颜色分类:69 藏青色;尺码:170/95/M,2021-02-21 16:15:16,好
t***t,颜色分类:09 黑色;尺码:185/110/XXL,2021-02-21 13:23:12,"样子好看,材质舒适"
费***8,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-21 10:35:54,料子很舒服，尺码合适，要是能便宜一点，那就好了。
s***2,颜色分类:04 烟灰色;尺码:180/108B/XL,2021-02-21 08:15:17,非常舒适，买过睡衣里面最舒适贴身的一款
w***6,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-20 22:30:12,很好，我爸183 160斤穿xl刚好
t***4,颜色分类:09 黑色;尺码:175/100/L,2021-02-20 17:47:56,睡衣尚可 好评
t***4,颜色分类:04 烟灰色;尺码:175/100/L,2021-02-20 17:47:56,睡衣尚可，好评
h***8,颜色分类:04 烟灰色;尺码:170/95/M,2021-02-20 16:44:30,挺舒服的
黄***l,颜色分类:69 藏青色;尺码:175/100/L,2021-02-20 13:35:08,男朋友175，140穿着合身，如果想宽松一点还是可以买大一码
佛***人,颜色分类:04 烟灰色;尺码:185/115/XXXL,2021-02-19 21:05:51,一直都支持优衣库！
t***9,颜色分类:69 藏青色;尺码:170/95/M,2021-02-19 17:33:43,送给对象的，他觉得很舒服
夏***然,颜色分类:69 藏青色;尺码:175/100/L,2021-02-19 15:59:36,衣服有污迹 白色的
别***神,颜色分类:09 黑色;尺码:185/110/XXL,2021-02-19 08:41:18,好好穿啊...还没洗过不知道会不会变形
w***5,颜色分类:04 烟灰色;尺码:185/120/XXXXL,2021-02-18 23:00:59,很舒服
a***生,颜色分类:04 烟灰色;尺码:180/105/XL,2021-02-18 19:51:39,比预想的薄不少，还算满意
c***4,颜色分类:09 黑色;尺码:180/105/XL,2021-02-18 18:06:02,很好   很合身
c***4,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-18 18:06:02,和好  很合身
李***v,颜色分类:69 藏青色;尺码:170/95/M,2021-02-18 16:51:05,nice，perfect，excellent
h***i,颜色分类:04 烟灰色;尺码:180/105/XL,2021-02-18 15:18:58,好评5分，睡衣看起来做工精细，面料柔软，样式简单好看。顺丰快递送货到家，非常感谢。
蝴***9,颜色分类:69 藏青色;尺码:180/108B/XL,2021-02-18 10:20:19,买了就降价了，心脏受不了了
t***0,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-18 09:34:47,衣服挺好的，质量也不错，男朋友挺喜欢，但是我刚买还没收到货，就降了50块钱，我看他说有价保险，我去咨询一下才知道价保险范围特别小，我问优衣库的客服，都没有见人工的。唉，虽然有点不开心，但是男朋友喜欢就好
金***成,颜色分类:04 烟灰色;尺码:175/100/L,2021-02-17 20:58:01,不错👍
果***蛋,颜色分类:04 烟灰色;尺码:180/105/XL,2021-02-17 10:52:16,很好的
x***8,颜色分类:69 藏青色;尺码:185/115/XXXL,2021-02-16 22:12:10,刚收到货一天就降价50块，问客服居然没有退差价服务。。。。。这服务下次不敢买。。
t***9,颜色分类:69 藏青色;尺码:170/95/M,2021-02-16 20:51:47,此用户没有填写评论!
x***糕,颜色分类:69 藏青色;尺码:175/100A/L,2021-02-16 14:38:31,一般吧，码数比较难把握
n***u,颜色分类:09 黑色;尺码:170/95/M,2021-02-16 11:16:35,穿上去有点凉嗖嗖阿  可能不大适合冬天
t***1,颜色分类:09 黑色;尺码:175/100/L,2021-02-16 09:52:21,买了之后就降价五十
s***z,颜色分类:69 藏青色;尺码:170/95/M,2021-02-15 16:04:02,很好，很舒服
s***z,颜色分类:09 黑色;尺码:170/95/M,2021-02-15 16:04:02,很好，很舒服
t***3,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-15 13:26:14,Even on holidays fast delivery 🚚  Very good. Didn&rsquo;t wear it yet but looks good
t***8,颜色分类:69 藏青色;尺码:170/92A/M,2021-02-15 11:56:12,比较薄，适合春秋穿
y***5,颜色分类:69 藏青色;尺码:185/110/XXL,2021-02-15 10:21:14,衣服码偏大。一般般。买完第二天就降价50元。差评
子***天,颜色分类:09 黑色;尺码:170/95/M,2021-02-15 00:10:23,垃圾衣服，不知道哪个小作坊做出来的，百分百会起球，应该是陈年旧料做的衣服，二百块钱的东西也就懒得退了
赖***6,颜色分类:04 烟灰色;尺码:175/100/L,2021-02-14 22:56:33,刚买完就降价50，还不退差价，没有保价服务，给别人买的懒得退了，购物体验极差😒😒😒
郭***南,颜色分类:09 黑色;尺码:175/100A/L,2021-02-14 11:08:30,粘毛毛
倍***晨,颜色分类:69 藏青色;尺码:175/100A/L,2021-02-13 14:59:30,非常舒服，样子也好看，想穿出门去哈哈。建议睡衣的尺码买的比平时大一号，穿着睡觉自在点。
z***n,颜色分类:04 烟灰色;尺码:160/76A/XS,2021-02-13 09:40:05,才买几天就降价50，还没得退差价，差评 衣服也没想象中好
小***奶,颜色分类:04 烟灰色;尺码:165/84A/S,2021-02-12 15:03:23,挺好的
林***6,颜色分类:04 烟灰色;尺码:180/105/XL,2021-02-11 20:59:01,刚买两天就降价 还不退差价 真的有够无语的🤦🏻&zwj;♂️
3***远,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-11 11:04:36,收货后的晚上就聚划算降价50，客服一句没有退差价政策，春节快递慢来不及退，认了，购物体验太差，这么大店，售后服务真不完善，淘宝非官方店都能提供的服务都提供不了，还官方店
我***0,颜色分类:04 烟灰色;尺码:180/105/XL,2021-02-11 07:50:39,棉质睡衣 睡到后半夜闷热不透气  看样子可能更加适合南方人吧
j***o,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-11 07:04:05,很好
心***a,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-10 21:47:02,满意满意满意满意
p***丨,颜色分类:69 藏青色;尺码:170/92A/M,2021-02-10 17:24:03,给男友买的，穿着挺好看的
d***a,颜色分类:69 藏青色;尺码:185/112C/XXL,2021-02-07 21:45:35,质量不错，面料舒服。
e***g,颜色分类:69 藏青色;尺码:180/108B/XL,2021-02-07 16:28:59,看着不错
f***u,颜色分类:69 藏青色;尺码:175/100A/L,2021-02-07 11:12:44,很喜欢，舒适
怀***星,颜色分类:09 黑色;尺码:185/112C/XXL,2021-02-06 14:10:57,在线客服真的很气人，连续两天打了电话才能联系上 但是电话客服态度很好
w***u,颜色分类:69 藏青色;尺码:180/108B/XL,2021-02-05 19:46:17,男朋友说很舒服！！！面料赞赞子
徐***1,颜色分类:69 藏青色;尺码:175/100A/L,2021-02-05 12:09:08,质量很舒服哦
s***n,颜色分类:09 黑色;尺码:165/84A/S,2021-02-05 10:07:59,合适到不能再合适 非常好
米***6,颜色分类:04 烟灰色;尺码:185/112C/XXL,2021-02-05 09:34:47,买了一套蓝色的太好看好穿，又买一套浅色的换着穿，瘦瘦高高大男孩穿这就是好看😃
米***6,颜色分类:69 藏青色;尺码:185/120C/3XL,2021-02-05 09:29:11,高高瘦瘦的小伙子穿起来特别好看
宋***4,颜色分类:69 藏青色;尺码:180/108B/XL,2021-02-02 22:31:56,穿着很舒服
t***5,颜色分类:04 烟灰色;尺码:185/112C/XXL,2021-02-02 18:32:38,178cm  88kg  买的xxl有点大
s***y,颜色分类:09 黑色;尺码:180/108B/XL,2021-02-01 18:31:43,衣服质量不错&hellip;上衣有些宽松&hellip;裤长刚好够
l***y,颜色分类:69 藏青色;尺码:170/92A/M,2021-01-30 23:31:01,不错 对象觉得很舒服
o***凉,颜色分类:09 黑色;尺码:175/100A/L,2021-01-30 17:04:11,很不错
3***5,颜色分类:09 黑色;尺码:175/100A/L,2021-01-30 14:02:22,舒适
复***吧,颜色分类:69 藏青色;尺码:180/108B/XL,2021-01-29 14:44:34,很好，不错
t***8,颜色分类:09 黑色;尺码:175/100A/L,2021-01-25 22:11:43,配了男女各一套
