displayUserNick,auctionSku,rateDate,rateContent
林***7,颜色分类:09 黑色;尺码:165/90/S,2021-03-05 12:20:48,好
林***7,颜色分类:69 藏青色;尺码:165/90/S,2021-03-05 12:20:47,好
梅***斯,颜色分类:00 白色;尺码:170/95/M,2021-03-05 09:30:16,很轻薄，适合春夏
幸***8,颜色分类:00 白色;尺码:180/105/XL,2021-03-03 13:55:34,一直买这个 好穿
p***6,颜色分类:00 白色;尺码:175/100/L,2021-03-01 17:14:23,东西可以，就是把货放在了快递站
y***1,颜色分类:00 白色;尺码:185/115/XXXL,2021-02-26 20:48:45,东西很好，很凉快
t***5,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-24 15:48:11,做工精细，轻薄
d***n,颜色分类:09 黑色;尺码:175/100/L,2021-02-21 13:58:02,很舒適，穿上後溫度也剛好，讚一個！
s***_,颜色分类:09 黑色;尺码:170/95/M,2021-02-19 10:42:59,黑色有轻微掉色 建议洗洗在穿
z***6,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-16 19:20:43,衣服不错很好很好很好。
z***6,颜色分类:69 藏青色;尺码:180/105/XL,2021-02-12 15:53:14,背心很透气很好，一直在穿着也很舒服穿。
阿***特,颜色分类:69 藏青色;尺码:185/110/XXL,2021-02-02 04:54:03,偏大，选择的时候注意
爱***谱,颜色分类:00 白色;尺码:175/100/L,2021-02-01 18:25:15,发货速度很快，东西包装的很好，价格优惠，我很满意👍，还会回购
内***侯,颜色分类:69 藏青色;尺码:175/100/L,2021-01-31 11:16:13,好穿，不错
内***侯,颜色分类:00 白色;尺码:175/100/L,2021-01-31 11:16:13,很好
