displayUserNick,auctionSku,rateDate,rateContent
小***燕,颜色分类:66 蓝色;尺码:175/100/L,2021-03-04 10:11:50,掉毛严重
四***白,颜色分类:66 蓝色;尺码:175/100/L,2021-03-03 21:59:55,很舒服
导***蛋,颜色分类:54 绿色;尺码:170/95/M,2021-03-03 08:31:12,包装好，物流快，价格实惠，比超市便宜多了
h***5,颜色分类:66 蓝色;尺码:175/100/L,2021-03-03 07:55:11,有点白白的小瑕疵
t***1,颜色分类:66 蓝色;尺码:180/105/XL,2021-03-02 10:44:33,不错
沉***3,颜色分类:01 乳白色;尺码:185/115/XXXL,2021-03-01 20:09:57,买回来上衣就是个洞，客服还说是他们衣服出厂前严格检查过的，大年29收到的货，退货麻烦就留下来了，自己缝了一下。衣服说属于宽大版的。
徐***0,颜色分类:66 蓝色;尺码:175/100/L,2021-02-28 17:14:41,纯棉质量好，值得购买。
吃***猫,颜色分类:54 绿色;尺码:175/100/L,2021-02-28 11:52:39,不错，买的墨绿色，质量好可以，简朴。直接穿出去了穿里面。比较舒服，洗了一次没掉色，178，72，l码差不多，宽松一些些
y***6,颜色分类:42 浅黄色;尺码:180/105/XL,2021-02-24 12:57:21,优衣库衣服真是神仙好看，质量超乎想象的舒服，大小合适，又入手了女款，期待，男款原本担心老公不能穿，买来很合适，第二套优衣库家居服系列，好评！喜欢，会继续购买
y***0,颜色分类:66 蓝色;尺码:175/100/L,2021-02-23 14:36:29,给男朋友买的，质量一般，下水洗过之后看着就有点儿旧了，应该是纯棉的，不过不会选择回购！
h***e,颜色分类:54 绿色;尺码:170/95/M,2021-02-23 11:06:22,1
z***1,颜色分类:42 浅黄色;尺码:175/100/L,2021-02-21 19:39:58,除了物流有点慢，其他都还好
混***生,颜色分类:66 蓝色;尺码:175/100/L,2021-02-21 18:13:38,很好穿，颜色很好看！多多打折呀！
w***6,颜色分类:54 绿色;尺码:180/105/XL,2021-02-20 22:30:12,给我爹买的，🉑
一***个,颜色分类:66 蓝色;尺码:165/90/S,2021-02-20 16:10:40,此用户没有填写评论!
水***1,颜色分类:42 浅黄色;尺码:170/95/M,2021-02-20 10:34:39,身高 170穿，袖子略长，裤子裤腰到胯骨上面，裤脚到脚踝。
小***n,颜色分类:66 蓝色;尺码:170/95/M,2021-02-19 22:33:22,挺舒服的
t***2,颜色分类:09 黑色;尺码:175/100/L,2021-02-18 20:00:21,恩价格便宜，物流也快，不错！
z***7,颜色分类:54 绿色;尺码:175/100/L,2021-02-18 16:28:22,这个更经典了，店铺自提给我拿了个肩膀跳线的残次品，不能实体店退换，必须要求我寄回去。半天不通过退货，让我先自行退回再退邮费，我寄回的货品都签收还没通过退货。我找了店小二，当天就退了。但是运费拖了半个月都没退回来，一找客服就是一串自动回复，我订单号输入不下十次！服务态度太极品了... 店大欺客么 为什么天猫不能差评！
小***爸,颜色分类:66 蓝色;尺码:170/95/M,2021-02-17 23:05:22,很不错的衣服
j***a,颜色分类:42 浅黄色;尺码:180/105/XL,2021-02-16 18:36:43,质量很久，号码稍微偏大！170，160中，175合适
l***1,颜色分类:42 浅黄色;尺码:180/105/XL,2021-02-14 13:12:10,特别好
a***7,颜色分类:66 蓝色;尺码:180/105/XL,2021-02-13 20:39:10,老公很喜欢 说很柔软 还可以外穿
暖***儿,颜色分类:01 乳白色;尺码:175/100/L,2021-02-12 19:53:04,不是全棉的，整套衣服比较薄，价格偏贵，物流比较给力，蛮快的。
e***南,颜色分类:66 蓝色;尺码:170/95/M,2021-02-12 17:25:45,面料柔软有弹性，适合春秋穿！
麦***狸,颜色分类:01 乳白色;尺码:175/100/L,2021-02-12 11:09:20,尺码太大了，大家可以小选1，2个号
p***7,颜色分类:66 蓝色;尺码:175/100/L,2021-02-10 17:33:31,发现和屁股，面料舒服，喜欢。
b***f,颜色分类:01 乳白色;尺码:185/115/XXXL,2021-02-09 17:48:15,好好
于***0,颜色分类:66 蓝色;尺码:170/95/M,2021-02-08 18:50:24,稍微有点紧身，不过弹性好
c***1,颜色分类:42 浅黄色;尺码:175/100/L,2021-02-08 11:42:21,给弟弟买的 颜色超级好看喔 原图up
k***8,颜色分类:04 烟灰色;尺码:165/90/S,2021-02-08 00:46:41,比想象中要薄。布料挺软的。拼接的缝纫处有点突出，不太平整。顺丰快递很迅速。
k***8,颜色分类:66 蓝色;尺码:165/90/S,2021-02-08 00:46:41,比想象中要薄。布料挺软的。拼接的缝纫处有点突出，不太平整。顺丰快递很迅速。
牧***7,颜色分类:66 蓝色;尺码:175/100/L,2021-02-07 18:43:58,好
g***t,颜色分类:66 蓝色;尺码:175/100/L,2021-02-07 17:03:21,布料柔软，不要太早烂掉就好。
木***塔,颜色分类:66 蓝色;尺码:175/100/L,2021-02-07 08:14:18,不错  尺码合适  门店自提蛮方便的
c***2,颜色分类:01 乳白色;尺码:170/95/M,2021-02-06 17:05:10,穿上好看，买给儿子的，相对179的个头裤子有点短，但是小帅太瘦不到60kg，大一号hold不住
王***3,颜色分类:04 烟灰色;尺码:175/100/L,2021-02-06 01:31:32,不错
