displayUserNick,auctionSku,rateDate,rateContent
2***j,颜色分类:02 浅灰色;尺码:165/90/S,2021-03-05 09:21:09,裤子超好
a***1,颜色分类:09 黑色;尺码:160/85/XS,2021-03-04 22:12:03,很难买 我的尺寸 修身的呢有点短 不短的呢有点肥 郁闷
t***6,颜色分类:69 藏青色;尺码:160/85/XS,2021-03-04 17:29:01,尺码合适，宽松舒适，好评！
z***7,颜色分类:02 浅灰色;尺码:170/95/M,2021-03-04 17:11:53,好
徐***8,颜色分类:09 黑色;尺码:180/105/XL,2021-03-03 15:53:28,很好 很帅气 就是要邮费
d***菊,颜色分类:09 黑色;尺码:175/100/L,2021-03-03 12:35:39,有点大了，180，m就行
s***u,颜色分类:09 黑色;尺码:170/95/M,2021-03-02 11:33:12,穿着还舒服的，过段时间来追评吧。
王***泡,颜色分类:02 浅灰色;尺码:175/100/L,2021-03-02 00:02:49,版型还是差点
谭***0,颜色分类:09 黑色;尺码:170/95/M,2021-03-01 15:54:55,一如既往的好
施***2,颜色分类:09 黑色;尺码:160/85/XS,2021-03-01 01:12:43,百搭款，值得入手
施***2,颜色分类:02 浅灰色;尺码:160/85/XS,2021-03-01 01:12:43,在店里买了灰色，看到网上有活动又入手了黑白色，很百搭，穿着也舒服
木***林,颜色分类:03 灰色;尺码:165/90/S,2021-02-28 22:54:09,裤子面料很软，穿着很舒服。
双***1,颜色分类:09 黑色;尺码:160/85/XS,2021-02-28 19:39:55,可以。
苹***弹,颜色分类:09 黑色;尺码:185/110/XXL,2021-02-28 15:17:12,还行
h***3,颜色分类:09 黑色;尺码:170/95/M,2021-02-27 17:50:19,这个腰能撑很大，100cm腰围穿M很轻松
t***6,颜色分类:09 黑色;尺码:170/95/M,2021-02-27 11:08:52,宽松舒适
人***情,颜色分类:09 黑色;尺码:180/105/XL,2021-02-27 08:53:07,料子摸着不行，不舒服
燕***落,颜色分类:69 藏青色;尺码:170/95/M,2021-02-26 20:43:38,有点短了，其他还好，没有优惠，
解***0,颜色分类:09 黑色;尺码:180/105/XL,2021-02-26 18:14:43,物流挺快的
t***7,颜色分类:03 灰色;尺码:170/95/M,2021-02-26 15:28:23,颜色不是很好看！
h***g,颜色分类:02 浅灰色;尺码:165/90/S,2021-02-25 21:48:45,很好看，显瘦
1***说,颜色分类:02 浅灰色;尺码:165/90/S,2021-02-25 19:40:20,好
1***说,颜色分类:03 灰色;尺码:160/85/XS,2021-02-25 18:36:15,还好
t***2,颜色分类:09 黑色;尺码:170/95/M,2021-02-25 12:17:04,身高 176  体重130穿s码刚刚好 刚开始买了俩条 买的是xl码 可以放下俩个我
t***0,颜色分类:09 黑色;尺码:185/115/XXXL,2021-02-25 05:12:04,优衣库质量没得说 发顺丰服务好
l***7,颜色分类:69 藏青色;尺码:160/85/XS,2021-02-24 21:59:24,洗了会缩水，建议买大一码。裤子口袋很深。
l***7,颜色分类:69 藏青色;尺码:170/95/M,2021-02-24 21:59:24,洗了会缩水，建议买大一码。裤子口袋很深。
1***说,颜色分类:02 浅灰色;尺码:160/85/XS,2021-02-24 12:50:02,很喜欢
c***宽,颜色分类:09 黑色;尺码:170/95/M,2021-02-24 10:07:36,不愧是优衣库神裤，粗腿人福音
傻***儿,颜色分类:09 黑色;尺码:170/95/M,2021-02-23 17:46:08,容易粘毛 没有灰色的好看
爱***拉,颜色分类:09 黑色;尺码:175/100/L,2021-02-23 16:38:12,这条裤子199不值，不过质量还是不错的。身高178体重128，穿这个有点胖，有点长，小一号会更合适。 睡衣套装也一样大了点，个人喜欢宽松，睡衣肩膀这个码数刚好，但是其他部分大。还好，睡衣不好看不好看，像老爷爷穿的？？？
呆***7,颜色分类:09 黑色;尺码:180/105/XL,2021-02-21 23:25:23,感觉长度就是正常裤长 舒适度不错
t***0,颜色分类:09 黑色;尺码:185/115/XXXL,2021-02-21 17:26:57,优衣库衣服质量没得说
亮***7,颜色分类:69 藏青色;尺码:175/100/L,2021-02-21 14:40:40,很不错
l***3,颜色分类:69 藏青色;尺码:170/95/M,2021-02-20 14:39:04,这裤子舒服又好看，一降价立马买了2条
圣***1,颜色分类:69 藏青色;尺码:185/110/XXL,2021-02-19 13:19:23,此用户没有填写评论!
圣***1,颜色分类:02 浅灰色;尺码:180/105/XL,2021-02-19 13:19:23,此用户没有填写评论!
圣***1,颜色分类:09 黑色;尺码:180/105/XL,2021-02-19 13:17:57,此用户没有填写评论!
1***9,颜色分类:09 黑色;尺码:165/90/S,2021-02-17 19:08:15,面料舒适，版型合身
p***1,颜色分类:69 藏青色;尺码:170/95/M,2021-02-17 09:43:03,好
e***0,颜色分类:09 黑色;尺码:170/95/M,2021-02-17 00:12:16,有一点点掉色
禾***心,颜色分类:03 灰色;尺码:175/100/L,2021-02-15 12:24:55,质地柔软，穿着舒服，长短合适，略微宽松
夜***0,颜色分类:03 灰色;尺码:170/95/M,2021-02-14 23:35:17,挺好的，没什么不满意的地方
t***4,颜色分类:09 黑色;尺码:185/110/XXL,2021-02-14 22:01:44,宝贝早就收到了，忘了评价，先说说宝贝吧，东西很不错，但是美中不足的就是有点小瑕疵，而且还有点味道，其他都还好，反正也就是个小东西。卖家的服务质量也还好，值得给个好评。物流也不错。总之习惯好评的我依然坚持在实事求是的同时给了卖家好评。
c***o,颜色分类:09 黑色;尺码:165/90/S,2021-02-13 14:53:08,在实体店买了一条，穿的舒服又上网再买一条，优衣库的忠实粉丝
小***z,颜色分类:69 藏青色;尺码:185/115/XXXL,2021-02-12 21:23:58,不错不错物流很快
李***4,颜色分类:09 黑色;尺码:175/100/L,2021-02-11 14:28:46,149买的
抽***离,颜色分类:09 黑色;尺码:175/100/L,2021-02-10 17:12:49,不错
t***5,颜色分类:09 黑色;尺码:185/115/XXXL,2021-02-10 16:41:01,实体店看到了，到网店来买的，面料偏薄适合春夏穿，非常简单的一条裤子。
番***1,颜色分类:09 黑色;尺码:165/90/S,2021-02-09 21:22:12,好
番***1,颜色分类:69 藏青色;尺码:175/100/L,2021-02-09 21:22:12,好
欣***为,颜色分类:09 黑色;尺码:175/100/L,2021-02-09 10:57:38,这就是优衣库客服的态度，发信息都不回，不知道自己有多牛*啊～哎，很差的服务体验
t***9,颜色分类:09 黑色;尺码:165/90/S,2021-02-08 23:09:10,很始
抽***离,颜色分类:09 黑色;尺码:175/100/L,2021-02-08 22:10:53,不错
蒙***咪,颜色分类:69 藏青色;尺码:165/90/S,2021-02-08 19:41:35,优秀
