,title,link,product_id,product_price,sale-num,comment_num
0,優衣庫男女裝便攜式防紫外線半開領連帽外套(3DCUT防曬衣)435624,//detail.tmall.com/item.htm?id=632851606075,632851606075,249.00,1060,89
1,優衣庫男裝/女裝牛仔茄克(水洗產品)433065UNIQLO,//detail.tmall.com/item.htm?id=632641239550,632641239550,299.00,5348,392
2,優衣庫男裝工裝茄克(水洗產品)433066UNIQLO,//detail.tmall.com/item.htm?id=632572832523,632572832523,299.00,6233,580
3,優衣庫男裝登山外套433067UNIQLO,//detail.tmall.com/item.htm?id=632538873121,632538873121,399.00,7508,527
4,優衣庫男裝工裝茄克(水洗產品)433066UNIQLO,//detail.tmall.com/item.htm?id=632572832523,632572832523,299.00,6233,580
5,優衣庫男裝/女裝寬松襯衫式茄克435278UNIQLO,//detail.tmall.com/item.htm?id=635500888072,635500888072,249.00,6115,469
6,優衣庫男裝高彈力運動茄克435109UNIQLO,//detail.tmall.com/item.htm?id=634166045084,634166045084,199.00,1503,137
7,優衣庫男裝/女裝牛仔茄克(水洗產品)433065UNIQLO,//detail.tmall.com/item.htm?id=632641239550,632641239550,299.00,5348,392
8,優衣庫男裝/女裝牛仔茄克(水洗產品)(外套)425420UNIQLO,//detail.tmall.com/item.htm?id=622354962395,622354962395,299.00,28674,3470
9,優衣庫男裝工裝茄克(水洗產品)(牛仔)438175UNIQLO,//detail.tmall.com/item.htm?id=632191908278,632191908278,299.00,2740,232
10,優衣庫男裝工裝牛仔茄克(水洗產品)442166UNIQLO,//detail.tmall.com/item.htm?id=637407265174,637407265174,399.00,313,15
11,優衣庫男裝登山外套433067UNIQLO,//detail.tmall.com/item.htm?id=632538873121,632538873121,399.00,7508,527
12,優衣庫男裝/女裝全棉連帽外套435672UNIQLO,//detail.tmall.com/item.htm?id=634659934620,634659934620,299.00,8957,745
13,優衣庫男裝/女裝AIRism防紫外線拉鏈連帽開衫(防曬衣外套)422986,//detail.tmall.com/item.htm?id=610587591281,610587591281,149.00,56213,965
14,優衣庫男裝/情侶裝便攜式防紫外線連帽外套(防曬衣)425028,//detail.tmall.com/item.htm?id=611256957577,611256957577,199.00,57099,513
15,優衣庫男裝便攜式防紫外線連帽外套(防曬衣)425418UNIQLO,//detail.tmall.com/item.htm?id=621804307717,621804307717,249.00,7865,601
16,優衣庫男女裝便攜式防紫外線半開領連帽外套(3DCUT防曬衣)435624,//detail.tmall.com/item.htm?id=632851606075,632851606075,249.00,1060,89
17,優衣庫男裝DRY-EX吸濕排汗防紫外線拉鏈連帽開衫(衛衣)433050,//detail.tmall.com/item.htm?id=635290909227,635290909227,199.00,1159,123
18,優衣庫男裝AIRism防紫外線拉鏈連帽開衫(防曬衣衛衣)433049,//detail.tmall.com/item.htm?id=635934363998,635934363998,149.00,970,50
19,優衣庫男裝便攜式防紫外線連帽外套(3DCUT印花防曬衣)437191,//detail.tmall.com/item.htm?id=635934683399,635934683399,249.00,527,45
20,優衣庫男裝/女裝便攜式防紫外線連帽外套（3DCUT防曬衣)433061,//detail.tmall.com/item.htm?id=633161711455,633161711455,249.00,377,25
21,優衣庫男裝便攜式防紫外線連帽外套(防曬衣)437635UNIQLO,//detail.tmall.com/item.htm?id=638193686977,638193686977,249.00,108,4
22,優衣庫男裝/女裝AIRism開衫433048UNIQLO,//detail.tmall.com/item.htm?id=637690663812,637690663812,199.00,600,61
23,優衣庫男裝長絨搖粒絨拉鏈茄克(長袖)(外套)419505,//detail.tmall.com/item.htm?id=626524171724,626524171724,199.00,186727,23284
24,男裝長絨搖粒絨拉鏈茄克(長袖)438374UNIQLO,//detail.tmall.com/item.htm?id=633791306768,633791306768,199.00,14093,1955
25,優衣庫男裝高級輕型羽絨茄克(外套)419994UNIQLO,//detail.tmall.com/item.htm?id=633907908663,633907908663,299.00,1302,136
26,優衣庫男裝高級輕型羽絨茄克(外套)429280UNIQLO,//detail.tmall.com/item.htm?id=634576338543,634576338543,299.00,4248,513
27,優衣庫男裝搖粒絨拉鏈茄克(長袖)(外套)419504,//detail.tmall.com/item.htm?id=634164788833,634164788833,99.00,22508,3027
28,優衣庫男裝高級輕型羽絨便攜式背心（壓線）437737UNIQLO,//detail.tmall.com/item.htm?id=632569552154,632569552154,149.00,6522,824
29,優衣庫男裝無縫羽絨大衣(外套)429294UNIQLO,//detail.tmall.com/item.htm?id=634885120248,634885120248,699.00,9401,1039
30,優衣庫男裝高級輕型羽絨連帽外套420314UNIQLO,//detail.tmall.com/item.htm?id=603878485849,603878485849,199.00,111335,4161
31,優衣庫男裝高級輕型羽絨背心(外套)429281UNIQLO,//detail.tmall.com/item.htm?id=638075406939,638075406939,149.00,7561,822
32,優衣庫男裝高級輕型羽絨便攜式茄克(外套)429284UNIQLO,//detail.tmall.com/item.htm?id=637743005186,637743005186,199.00,3195,361
33,優衣庫男裝高級輕型羽絨便攜式背心(外套)429285,//detail.tmall.com/item.htm?id=637384128144,637384128144,149.00,1763,163
34,優衣庫男裝高級輕型羽絨連帽外套429282UNIQLO,//detail.tmall.com/item.htm?id=638076022118,638076022118,299.00,3033,356
35,優衣庫【設計師合作款】男裝兩面穿搖粒絨茄克434888,//detail.tmall.com/item.htm?id=625158710430,625158710430,199.00,3144,438
36,優衣庫男裝/女裝磨毛棉拉鏈外套430014UNIQLO,//detail.tmall.com/item.htm?id=621231747246,621231747246,79.00,53831,7140
37,優衣庫男裝登山外套433067UNIQLO,//detail.tmall.com/item.htm?id=638228841088,638228841088,299.00,1578,52
38,優衣庫【設計師合作款】男裝/女裝針織襯衫式茄克435276,//detail.tmall.com/item.htm?id=637870588249,637870588249,299.00,903,18
39,優衣庫【設計師合作款】男裝全棉休閑茄克437144UNIQLO,//detail.tmall.com/item.htm?id=638228553351,638228553351,399.00,266,7
40,優衣庫男裝高級保暖羽絨大衣(外套)429293UNIQLO,//detail.tmall.com/item.htm?id=626963303562,626963303562,999.00,6222,827
41,優衣庫男裝無縫羽絨長大衣(外套)429295UNIQLO,//detail.tmall.com/item.htm?id=628560187716,628560187716,999.00,9802,1146
42,優衣庫男裝高性能複合大衣(外套)(複合填充羽絨)429292UNIQLO,//detail.tmall.com/item.htm?id=629461530610,629461530610,699.00,20815,2274
43,優衣庫男裝高性能複合連帽外套(複合含羽絨)429290,//detail.tmall.com/item.htm?id=627967213981,627967213981,699.00,47243,4964
44,優衣庫男裝/女裝無縫羽絨連帽外套429291,//detail.tmall.com/item.htm?id=628265074678,628265074678,699.00,38888,4534
45,優衣庫男裝高級輕型羽絨茄克(外套)419994UNIQLO,//detail.tmall.com/item.htm?id=597926017274,597926017274,499.00,74505,1307
46,優衣庫男裝高級輕型羽絨茄克(外套)429280UNIQLO,//detail.tmall.com/item.htm?id=626030087192,626030087192,499.00,47770,5417
47,優衣庫男裝高級輕型羽絨茄克(3DCUT)430919,//detail.tmall.com/item.htm?id=632398687246,632398687246,499.00,6272,707
48,優衣庫【設計師合作款】男裝毛料搖粒絨茄克432516,//detail.tmall.com/item.htm?id=635703752945,635703752945,299.00,1457,157
49,優衣庫男裝/女裝防風長絨搖粒絨拉鏈連帽開衫(長袖外套)429189,//detail.tmall.com/item.htm?id=626061444411,626061444411,199.00,59762,8498
50,優衣庫男裝搖粒絨拉鏈茄克(長袖)(外套)419504,//detail.tmall.com/item.htm?id=624157985480,624157985480,149.00,138100,17498
